"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"CYES","","Cyperus esculentus","yellow nutsedge","Monocot","Cyperus","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer and Fall","Semi-Erect","None","No"
"CYOD","","Cyperus odoratus","fragrant flatsedge","Monocot","Cyperus","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Summer and Fall","Erect","None","No"
"CYST","","Cyperus strigosus","strawcolored flatsedge","Monocot","Cyperus","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"DAGL","","Dactylis glomerata","orchardgrass","Monocot","Dactylis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Fall","Erect","None","No"
"DAPUP","","Dalea purpurea var. purpurea","purple prairie clover","Dicot","Dalea","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"DEVE","","Decodon verticillatus","swamp loosestrife","Dicot","Decodon","Lythraceae","Loosestrife family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Summer and Fall","Erect","None","No"
"DEFL","","Deschampsia flexuosa","wavy hairgrass","Monocot","Deschampsia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"DEIL","","Desmanthus illinoensis","Illinois bundleflower","Dicot","Desmanthus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"DIOV","","Dichanthelium ovale","eggleaf rosette grass","Monocot","Dichanthelium","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"DILO","","Diervilla lonicera","northern bush honeysuckle","Dicot","Diervilla","Caprifoliaceae","Honeysuckle family","Dipsacales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring","Erect","None","No"
"DISP","","Distichlis spicata","saltgrass","Monocot","Distichlis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"DOME","","Dodecatheon meadia","pride of Ohio","Dicot","Dodecatheon","Primulaceae","Primrose family","Primulales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"DUAR3","","Dulichium arundinaceum","three-way sedge","Monocot","Dulichium","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ECWA","","Echinochloa walteri","coast cockspur grass","Monocot","Echinochloa","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer","Erect","None","No"
"ECPR","","Eclipta prostrata","false daisy","Dicot","Eclipta","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Summer","Erect","None","No"
"ELAN","","Elaeagnus angustifolia","Russian olive","Dicot","Elaeagnus","Elaeagnaceae","Oleaster family","Rhamnales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"ELCO","","Elaeagnus commutata","silverberry","Dicot","Elaeagnus","Elaeagnaceae","Oleaster family","Rhamnales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","Yes"
"ELAC","","Eleocharis acicularis","needle spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"ELOB2","","Eleocharis obtusa","blunt spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Spring","Erect","None","No"
"ELOV","","Eleocharis ovata","ovate spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Summer and Fall","Semi-Erect","None","No"
"ELPA3","","Eleocharis palustris","common spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"ELPA5","","Eleocharis parvula","dwarf spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Summer and Fall","Erect","None","No"
"ELRO2","","Eleocharis rostellata","beaked spikerush","Monocot","Eleocharis","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"ELCA7","","Elodea canadensis","Canadian waterweed","Monocot","Elodea","Hydrocharitaceae","Tape-grass family","Hydrocharitales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"ELCA4","","Elymus canadensis","Canada wildrye","Monocot","Elymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"ELRE4","","Elymus repens","quackgrass","Monocot","Elymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"ELRI","","Elymus riparius","riverbank wildrye","Monocot","Elymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"ELTRT","","Elymus trachycaulus ssp. trachycaulus","slender wheatgrass","Monocot","Elymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"ELVI3","","Elymus virginicus","Virginia wildrye","Monocot","Elymus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"EMNI","","Empetrum nigrum","black crowberry","Dicot","Empetrum","Empetraceae","Crowberry family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Summer and Fall","Prostrate","None","No"
"EPCO","","Epilobium coloratum","purpleleaf willowherb","Dicot","Epilobium","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"EPLE2","","Epilobium leptophyllum","bog willowherb","Dicot","Epilobium","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"EQAR","","Equisetum arvense","field horsetail","Horsetail","Equisetum","Equisetaceae","Horsetail family","Equisetales","","Equisetopsida","","Equisetophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Moderate","No"
"EQFL","","Equisetum fluviatile","water horsetail","Horsetail","Equisetum","Equisetaceae","Horsetail family","Equisetales","","Equisetopsida","","Equisetophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"EQLA","","Equisetum laevigatum","smooth horsetail","Horsetail","Equisetum","Equisetaceae","Horsetail family","Equisetales","","Equisetopsida","","Equisetophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Moderate","No"
"EQSY","","Equisetum sylvaticum","woodland horsetail","Horsetail","Equisetum","Equisetaceae","Horsetail family","Equisetales","","Equisetopsida","","Equisetophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Moderate","No"
"ERHY","","Eragrostis hypnoides","teal lovegrass","Monocot","Eragrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Spring","Prostrate","None","No"
"ERSP","","Eragrostis spectabilis","purple lovegrass","Monocot","Eragrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"ERPH","","Erigeron philadelphicus","Philadelphia fleabane","Dicot","Erigeron","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"ERST3","","Erigeron strigosus","prairie fleabane","Dicot","Erigeron","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ERAN6","","Eriophorum angustifolium","tall cottongrass","Monocot","Eriophorum","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ERGR8","","Eriophorum gracile","slender cottongrass","Monocot","Eriophorum","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Semi-Erect","None","No"
"ERVI8","","Eriophorum virginicum","tawny cottongrass","Monocot","Eriophorum","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"FAES2","","Fagopyrum esculentum","buckwheat","Dicot","Fagopyrum","Polygonaceae","Buckwheat family","Polygonales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","","Erect","Severe","No"
"FAGR","","Fagus grandifolia","American beech","Dicot","Fagus","Fagaceae","Beech family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","Yes"
"FERU2","","Festuca rubra","red fescue","Monocot","Festuca","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Fall","Decumbent","None","No"
"FRAM2","","Fraxinus americana","white ash","Dicot","Fraxinus","Oleaceae","Olive family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
