"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"MIPR","","Mimulus primuloides","primrose monkeyflower","Dicot","Mimulus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","None","No"
"MISU2","","Mimulus suksdorfii","Suksdorf's monkeyflower","Dicot","Mimulus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Decumbent","None","No"
"MIMU","","Mirabilis multiflora","Colorado four o'clock","Dicot","Mirabilis","Nyctaginaceae","Four o'clock family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb, Subshrub","Spring and Summer","Semi-Erect","None","Yes"
"MOFI","","Monarda fistulosa","wild bergamot","Dicot","Monarda","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring","Erect","None","No"
"MONU","","Monolepis nuttalliana","Nuttall's povertyweed","Dicot","Monolepis","Chenopodiaceae","Goosefoot family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Decumbent","None","No"
"MOAL","","Morus alba","white mulberry","Dicot","Morus","Moraceae","Mulberry family","Urticales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Rounded","None","No"
"MUAS","","Muhlenbergia asperifolia","scratchgrass","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Decumbent","None","No"
"MUME2","","Muhlenbergia mexicana","Mexican muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MUMO","","Muhlenbergia montana","mountain muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"MUPO2","","Muhlenbergia porteri","bush muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Decumbent","None","No"
